Date,Time,open,high,low,close,volume,spread
2024.06.24,04:00:00,1.06916,1.07149,1.06912,1.07128,4697,1
2024.06.24,08:00:00,1.07128,1.07359,1.07088,1.07357,7999,1
2024.06.24,12:00:00,1.07352,1.07464,1.07233,1.07271,8811,1
2024.06.24,16:00:00,1.07267,1.07382,1.0722,1.0736,4994,1
2024.06.24,20:00:00,1.07357,1.07374,1.07274,1.07322,1644,1
2024.06.25,00:00:00,1.0732,1.07392,1.07319,1.07383,3606,1
2024.06.25,04:00:00,1.07383,1.07442,1.07208,1.07268,5261,1
2024.06.25,08:00:00,1.07268,1.07359,1.07088,1.07094,6923,1
2024.06.25,12:00:00,1.07094,1.07148,1.06908,1.07038,8735,1
2024.06.25,16:00:00,1.07039,1.07175,1.07021,1.07159,4765,1
2024.06.25,20:00:00,1.07155,1.07156,1.07011,1.07091,1727,1
2024.06.26,00:00:00,1.07091,1.07179,1.07062,1.07109,3581,1
2024.06.26,04:00:00,1.0711,1.07115,1.06853,1.06941,5123,1
2024.06.26,08:00:00,1.06937,1.06998,1.06796,1.06942,6968,1
2024.06.26,12:00:00,1.0694,1.06957,1.06659,1.06819,10916,1
2024.06.26,16:00:00,1.0682,1.06909,1.0675,1.0681,5446,1
2024.06.26,20:00:00,1.06809,1.0682,1.0674,1.06798,1777,1
2024.06.27,00:00:00,1.06799,1.06924,1.0677,1.06907,3735,1
2024.06.27,04:00:00,1.06908,1.06989,1.06883,1.06902,5162,1
2024.06.27,08:00:00,1.06901,1.07043,1.06805,1.06926,7357,1
2024.06.27,12:00:00,1.06927,1.07264,1.06927,1.0707,11003,1
2024.06.27,16:00:00,1.0707,1.07102,1.07012,1.07027,5528,1
2024.06.27,20:00:00,1.07027,1.0714,1.06996,1.07076,1517,1
2024.06.28,00:00:00,1.07077,1.07107,1.06853,1.06921,4500,1
2024.06.28,04:00:00,1.06921,1.07039,1.06857,1.06969,5149,1
2024.06.28,08:00:00,1.06968,1.07117,1.0692,1.06972,7284,1
2024.06.28,12:00:00,1.06971,1.0722,1.06927,1.07112,12989,1
2024.06.28,16:00:00,1.07109,1.07248,1.0706,1.0711,6414,1
2024.06.28,20:00:00,1.07109,1.07144,1.07078,1.07116,1068,1
2024.06.30,20:00:00,1.0745,1.0745,1.07319,1.07351,2285,1
2024.07.01,00:00:00,1.07351,1.0761,1.07347,1.07528,5429,1
2024.07.01,04:00:00,1.07527,1.07762,1.07512,1.07541,6778,1
2024.07.01,08:00:00,1.07542,1.07721,1.07426,1.0749,6320,1
2024.07.01,12:00:00,1.0749,1.07694,1.07197,1.07269,11285,1
2024.07.01,16:00:00,1.07269,1.07392,1.07242,1.07383,5595,1
2024.07.01,20:00:00,1.07384,1.07425,1.07301,1.07364,1766,1
2024.07.02,00:00:00,1.07365,1.07384,1.07307,1.07322,3465,1
2024.07.02,04:00:00,1.07322,1.07357,1.0712,1.07181,5910,1
2024.07.02,08:00:00,1.07182,1.07242,1.07098,1.07235,7015,1
2024.07.02,12:00:00,1.07236,1.07464,1.07236,1.07363,11930,6
2024.07.02,16:00:00,1.07361,1.07461,1.07303,1.07458,4226,6
2024.07.02,20:00:00,1.07457,1.07492,1.07368,1.07481,1671,1
2024.07.03,00:00:00,1.07481,1.07543,1.07406,1.07436,2887,1
2024.07.03,04:00:00,1.07436,1.07617,1.0736,1.07596,4852,1
2024.07.03,08:00:00,1.07596,1.07635,1.07525,1.07576,6247,1
2024.07.03,12:00:00,1.07575,1.08168,1.0755,1.07988,11121,1
2024.07.03,16:00:00,1.07988,1.08004,1.07781,1.07849,4333,1
2024.07.03,20:00:00,1.07849,1.07916,1.07778,1.07911,1478,1
2024.07.04,00:00:00,1.07911,1.0795,1.07835,1.07852,2986,1
2024.07.04,04:00:00,1.07853,1.07967,1.07847,1.07945,4972,1
2024.07.04,08:00:00,1.07946,1.0803,1.07939,1.0797,5990,1
2024.07.04,12:00:00,1.07969,1.08138,1.07945,1.08107,5394,1
2024.07.04,16:00:00,1.08107,1.08137,1.08097,1.0813,1349,1
2024.07.04,20:00:00,1.08129,1.08137,1.08088,1.08104,1662,1
2024.07.05,00:00:00,1.08104,1.08244,1.08102,1.08217,3396,1
2024.07.05,04:00:00,1.08218,1.08302,1.08164,1.08291,4397,1
2024.07.05,08:00:00,1.08289,1.08318,1.08182,1.0819,5153,1
2024.07.05,12:00:00,1.08191,1.08418,1.08026,1.08277,13242,1
2024.07.05,16:00:00,1.08278,1.08425,1.08232,1.08411,4740,1
2024.07.05,20:00:00,1.08409,1.0841,1.08363,1.08397,907,1
2024.07.07,20:00:00,1.0802,1.08327,1.08002,1.08258,2265,1
2024.07.08,00:00:00,1.08257,1.08362,1.08187,1.08314,4302,1
2024.07.08,04:00:00,1.08315,1.08381,1.08146,1.08368,6505,1
2024.07.08,08:00:00,1.08369,1.08429,1.08237,1.08334,7171,1
2024.07.08,12:00:00,1.08335,1.08449,1.08312,1.08348,8424,1
2024.07.08,16:00:00,1.08346,1.0836,1.08222,1.08249,4236,1
2024.07.08,20:00:00,1.08249,1.08314,1.0822,1.08306,1685,1
2024.07.09,00:00:00,1.08309,1.08333,1.08191,1.08282,2980,1
2024.07.09,04:00:00,1.08281,1.08312,1.08171,1.08175,4588,1
2024.07.09,08:00:00,1.08175,1.08284,1.08121,1.08137,5721,1
2024.07.09,12:00:00,1.08138,1.08279,1.08055,1.08126,10011,1
2024.07.09,16:00:00,1.08127,1.08162,1.08058,1.0814,5575,1
2024.07.09,20:00:00,1.08143,1.08166,1.08092,1.08144,1479,1
2024.07.10,00:00:00,1.08143,1.08211,1.08107,1.08201,3344,1
2024.07.10,04:00:00,1.08201,1.08249,1.08148,1.08162,4786,1
2024.07.10,08:00:00,1.08161,1.08268,1.08119,1.08256,6242,1
2024.07.10,12:00:00,1.08254,1.08288,1.08198,1.08223,8139,1
2024.07.10,16:00:00,1.08226,1.08296,1.08174,1.08288,4638,1
2024.07.10,20:00:00,1.08288,1.08365,1.08249,1.08331,1700,1
2024.07.11,00:00:00,1.08331,1.08402,1.08323,1.08379,2853,1
2024.07.11,04:00:00,1.08379,1.084,1.08321,1.08395,4297,1
2024.07.11,08:00:00,1.08395,1.08577,1.08382,1.08547,5768,1
2024.07.11,12:00:00,1.08547,1.08995,1.08446,1.08696,15687,1
2024.07.11,16:00:00,1.08695,1.08705,1.08598,1.08648,7147,1
2024.07.11,20:00:00,1.08644,1.08743,1.08598,1.08741,3037,1
2024.07.12,00:00:00,1.08739,1.08744,1.08634,1.08688,4894,1
2024.07.12,04:00:00,1.08688,1.08761,1.08619,1.08754,5368,1
2024.07.12,08:00:00,1.08755,1.08923,1.08753,1.08876,6289,1
2024.07.12,12:00:00,1.08877,1.09107,1.08727,1.09012,12854,1
2024.07.12,16:00:00,1.09012,1.09113,1.09005,1.09064,5192,1
2024.07.12,20:00:00,1.09065,1.09079,1.09038,1.09055,720,1
2024.07.14,20:00:00,1.0886,1.08955,1.08818,1.08857,2452,1
2024.07.15,00:00:00,1.08858,1.08957,1.08834,1.0894,3974,1
2024.07.15,04:00:00,1.0894,1.08964,1.08836,1.08957,5114,1
2024.07.15,08:00:00,1.08958,1.09202,1.08957,1.09055,7413,1
2024.07.15,12:00:00,1.09055,1.09222,1.09019,1.09118,9216,1
2024.07.15,16:00:00,1.09116,1.09171,1.08933,1.08988,8348,1
2024.07.15,20:00:00,1.08989,1.08992,1.08884,1.08981,2152,1
2024.07.16,00:00:00,1.08983,1.08983,1.08886,1.0893,3741,1
2024.07.16,04:00:00,1.0893,1.09003,1.08834,1.08991,5254,1
2024.07.16,08:00:00,1.08991,1.09041,1.08938,1.0902,7319,1
2024.07.16,12:00:00,1.09021,1.09055,1.08715,1.08844,10413,1
2024.07.16,16:00:00,1.08845,1.09028,1.08813,1.09017,5423,1
2024.07.16,20:00:00,1.09017,1.09029,1.08958,1.09021,2179,1
2024.07.17,00:00:00,1.09021,1.09069,1.08955,1.09063,3562,1
2024.07.17,04:00:00,1.09063,1.09134,1.0895,1.09081,6653,1
2024.07.17,08:00:00,1.09085,1.09448,1.09076,1.09347,9437,1
2024.07.17,12:00:00,1.09343,1.0948,1.09276,1.09324,11110,1
2024.07.17,16:00:00,1.09324,1.09397,1.09237,1.09362,6714,1
2024.07.17,20:00:00,1.09361,1.0941,1.0935,1.09403,1875,1
2024.07.18,00:00:00,1.09402,1.09408,1.0932,1.09328,4418,1
2024.07.18,04:00:00,1.09329,1.09382,1.09262,1.09314,6546,1
2024.07.18,08:00:00,1.09314,1.09386,1.0926,1.09275,6582,1
2024.07.18,12:00:00,1.09275,1.0937,1.09049,1.09122,11392,1
2024.07.18,16:00:00,1.0912,1.09164,1.08936,1.08969,7345,1
2024.07.18,20:00:00,1.0897,1.09017,1.0892,1.09003,2077,1
2024.07.19,00:00:00,1.09003,1.09003,1.08863,1.08884,4771,1
2024.07.19,04:00:00,1.08884,1.08904,1.08818,1.08878,6401,1
2024.07.19,08:00:00,1.08878,1.08934,1.08762,1.08931,7821,1
2024.07.19,12:00:00,1.0893,1.08941,1.08794,1.0888,9786,1
2024.07.19,16:00:00,1.0888,1.08911,1.08754,1.08793,6593,1
2024.07.19,20:00:00,1.08789,1.08839,1.08787,1.08839,796,1
2024.07.21,20:00:00,1.0888,1.09025,1.08796,1.08989,2291,1
2024.07.22,00:00:00,1.08989,1.08997,1.08846,1.08915,4083,1
2024.07.22,04:00:00,1.08915,1.08926,1.08788,1.08872,6469,1
2024.07.22,08:00:00,1.08873,1.08954,1.08839,1.08856,6709,1
2024.07.22,12:00:00,1.08856,1.08887,1.08731,1.08798,9172,1
2024.07.22,16:00:00,1.08797,1.08917,1.0879,1.08871,5163,1
2024.07.22,20:00:00,1.08871,1.08929,1.08823,1.08889,2480,1
2024.07.23,00:00:00,1.08889,1.08967,1.08871,1.08943,4271,1
2024.07.23,04:00:00,1.08943,1.08948,1.0874,1.08761,5415,1
2024.07.23,08:00:00,1.08761,1.08823,1.0856,1.08571,8002,1
2024.07.23,12:00:00,1.08567,1.08634,1.08437,1.08542,8709,1
2024.07.23,16:00:00,1.08544,1.08579,1.08492,1.08507,5411,1
2024.07.23,20:00:00,1.08508,1.08562,1.08486,1.08497,1802,1
2024.07.24,00:00:00,1.08497,1.08503,1.08417,1.08451,4034,1
2024.07.24,04:00:00,1.08451,1.08537,1.08257,1.08292,6794,1
2024.07.24,08:00:00,1.08288,1.08489,1.08258,1.08462,7627,1
2024.07.24,12:00:00,1.08462,1.08665,1.08456,1.08527,10581,1
2024.07.24,16:00:00,1.08528,1.08549,1.08357,1.08388,6697,1
2024.07.24,20:00:00,1.08385,1.08421,1.08347,1.08379,2341,1
2024.07.25,00:00:00,1.08379,1.08439,1.08349,1.08427,5445,1
2024.07.25,04:00:00,1.08427,1.0853,1.08282,1.08489,7274,1
2024.07.25,08:00:00,1.08493,1.08587,1.08432,1.08456,9291,1
2024.07.25,12:00:00,1.08456,1.08646,1.08302,1.08597,13030,1
2024.07.25,16:00:00,1.08597,1.08699,1.08451,1.08456,7875,1
2024.07.25,20:00:00,1.0846,1.08514,1.08433,1.08513,2550,1
2024.07.26,00:00:00,1.08512,1.08604,1.08512,1.08584,3993,1
2024.07.26,04:00:00,1.08585,1.08607,1.08449,1.08493,5257,1
2024.07.26,08:00:00,1.08493,1.08614,1.08421,1.0861,6783,1
2024.07.26,12:00:00,1.0861,1.08682,1.08472,1.08578,10528,1
2024.07.26,16:00:00,1.0858,1.0867,1.08552,1.08577,5480,1
2024.07.26,20:00:00,1.08574,1.08581,1.08541,1.08552,1279,1
2024.07.28,20:00:00,1.0857,1.08599,1.08528,1.08528,1880,1
2024.07.29,00:00:00,1.08528,1.08698,1.08509,1.08623,4379,1
2024.07.29,04:00:00,1.08623,1.08639,1.08431,1.08447,5916,1
2024.07.29,08:00:00,1.08446,1.08446,1.08167,1.08177,7315,1
2024.07.29,12:00:00,1.08177,1.08238,1.08026,1.08189,8080,1
2024.07.29,16:00:00,1.08189,1.08258,1.0815,1.08237,4802,1
2024.07.29,20:00:00,1.08237,1.08237,1.08181,1.08191,2226,1
2024.07.30,00:00:00,1.0819,1.08224,1.08142,1.08221,3665,1
2024.07.30,04:00:00,1.08219,1.08266,1.08165,1.08177,5601,1
2024.07.30,08:00:00,1.08179,1.08356,1.08158,1.08243,6552,1
2024.07.30,12:00:00,1.0824,1.0826,1.07984,1.08087,10552,1
2024.07.30,16:00:00,1.08088,1.08175,1.08068,1.08106,6532,1
2024.07.30,20:00:00,1.08107,1.08178,1.08084,1.08156,2377,1
2024.07.31,00:00:00,1.08156,1.08301,1.08127,1.0822,5277,1
